orf_name,Class D,Class C,Class B,Class A
chr_2164,K00128  ALDH; aldehyde dehydrogenase (NAD+),00410 beta-Alanine metabolism,Metabolism of other amino acids,Metabolism
chr_2164,K00128  ALDH; aldehyde dehydrogenase (NAD+),00010 Glycolysis / Gluconeogenesis,Carbohydrate metabolism,Metabolism
chr_2164,K00128  ALDH; aldehyde dehydrogenase (NAD+),00071 Fatty acid degradation,Lipid metabolism,Metabolism
chr_2164,K00128  ALDH; aldehyde dehydrogenase (NAD+),00625 Chloroalkane and chloroalkene degradation,Xenobiotics biodegradation and metabolism,Metabolism
chr_2164,K00128  ALDH; aldehyde dehydrogenase (NAD+),00340 Histidine metabolism,Amino acid metabolism,Metabolism
chr_2164,K00128  ALDH; aldehyde dehydrogenase (NAD+),00380 Tryptophan metabolism,Amino acid metabolism,Metabolism
chr_2164,K00128  ALDH; aldehyde dehydrogenase (NAD+),00903 Limonene and pinene degradation,Metabolism of terpenoids and polyketides,Metabolism
chr_2164,K00128  ALDH; aldehyde dehydrogenase (NAD+),00620 Pyruvate metabolism,Carbohydrate metabolism,Metabolism
chr_2164,K00128  ALDH; aldehyde dehydrogenase (NAD+),00981 Insect hormone biosynthesis,Metabolism of terpenoids and polyketides,Metabolism
chr_2164,K00128  ALDH; aldehyde dehydrogenase (NAD+),00561 Glycerolipid metabolism,Lipid metabolism,Metabolism
chr_2164,K00128  ALDH; aldehyde dehydrogenase (NAD+),00053 Ascorbate and aldarate metabolism,Carbohydrate metabolism,Metabolism
chr_2164,K00128  ALDH; aldehyde dehydrogenase (NAD+),00330 Arginine and proline metabolism,Amino acid metabolism,Metabolism
chr_2168,K11730  ACAD11; acyl-CoA dehydrogenase family member 11,99983 Lipid metabolism,Unclassified: metabolism,Not Included in Pathway or Brite
chr_2176,K11735  gabP; GABA permease,02000 Transporters,Protein families: signaling and cellular processes,Brite Hierarchies
chr_2177,"K22010  pdtaR; two-component system, response regulator PdtaR",02022 Two-component system,Protein families: signaling and cellular processes,Brite Hierarchies
chr_2180,"K19222  menI, DHNAT; 1,4-dihydroxy-2-naphthoyl-CoA hydrolase",00130 Ubiquinone and other terpenoid-quinone biosynthesis,Metabolism of cofactors and vitamins,Metabolism
chr_2181,K02335  polA; DNA polymerase I,03420 Nucleotide excision repair,Replication and repair,Genetic Information Processing
chr_2181,K02335  polA; DNA polymerase I,03440 Homologous recombination,Replication and repair,Genetic Information Processing
chr_2181,K02335  polA; DNA polymerase I,03030 DNA replication,Replication and repair,Genetic Information Processing
chr_2181,K02335  polA; DNA polymerase I,03410 Base excision repair,Replication and repair,Genetic Information Processing
chr_2181,K02335  polA; DNA polymerase I,03400 DNA repair and recombination proteins,Protein families: genetic information processing,Brite Hierarchies
chr_2181,K02335  polA; DNA polymerase I,03032 DNA replication proteins,Protein families: genetic information processing,Brite Hierarchies
chr_2185,K01421  yhgE; putative membrane protein,99996 General function prediction only,Poorly characterized,Not Included in Pathway or Brite
chr_2189,"K02945  RP-S1, rpsA; small subunit ribosomal protein S1",03010 Ribosome,Translation,Genetic Information Processing
chr_2189,"K02945  RP-S1, rpsA; small subunit ribosomal protein S1",03011 Ribosome,Protein families: genetic information processing,Brite Hierarchies
chr_2192,K00859  coaE; dephospho-CoA kinase,00770 Pantothenate and CoA biosynthesis,Metabolism of cofactors and vitamins,Metabolism
chr_2195,K09146  K09146; uncharacterized protein,99997 Function unknown,Poorly characterized,Not Included in Pathway or Brite
chr_2197,K03702  uvrB; excinuclease ABC subunit B,03420 Nucleotide excision repair,Replication and repair,Genetic Information Processing
chr_2197,K03702  uvrB; excinuclease ABC subunit B,03400 DNA repair and recombination proteins,Protein families: genetic information processing,Brite Hierarchies
chr_2198,"K09838  ZEP, ABA1; zeaxanthin epoxidase",00906 Carotenoid biosynthesis,Metabolism of terpenoids and polyketides,Metabolism
chr_2209,K05794  terC; tellurite resistance protein TerC,99994 Others,Unclassified: signaling and cellular processes,Not Included in Pathway or Brite
chr_2212,K01183  E3.2.1.14; chitinase,00520 Amino sugar and nucleotide sugar metabolism,Carbohydrate metabolism,Metabolism
chr_2216,K11165  DHRS7; dehydrogenase/reductase SDR family member 7,99980 Enzymes with EC numbers,Unclassified: metabolism,Not Included in Pathway or Brite
chr_2217,"K22108  kstR2; TetR/AcrR family transcriptional regulator, cholesterol catabolism regulator",03000 Transcription factors,Protein families: genetic information processing,Brite Hierarchies
chr_2220,K22820  fadE34; 3-oxochol-4-en-24-oyl-CoA dehydrogenase,99980 Enzymes with EC numbers,Unclassified: metabolism,Not Included in Pathway or Brite
chr_2221,"K00059  fabG, OAR1; 3-oxoacyl-[acyl-carrier protein] reductase",00061 Fatty acid biosynthesis,Lipid metabolism,Metabolism
chr_2221,"K00059  fabG, OAR1; 3-oxoacyl-[acyl-carrier protein] reductase",00333 Prodigiosin biosynthesis,Biosynthesis of other secondary metabolites,Metabolism
chr_2221,"K00059  fabG, OAR1; 3-oxoacyl-[acyl-carrier protein] reductase",00780 Biotin metabolism,Metabolism of cofactors and vitamins,Metabolism
chr_2221,"K00059  fabG, OAR1; 3-oxoacyl-[acyl-carrier protein] reductase",01004 Lipid biosynthesis proteins,Protein families: metabolism,Brite Hierarchies
chr_2222,"K00249  ACADM, acd; acyl-CoA dehydrogenase",00071 Fatty acid degradation,Lipid metabolism,Metabolism
chr_2222,"K00249  ACADM, acd; acyl-CoA dehydrogenase","00280 Valine, leucine and isoleucine degradation",Amino acid metabolism,Metabolism
chr_2222,"K00249  ACADM, acd; acyl-CoA dehydrogenase",03320 PPAR signaling pathway,Endocrine system,Organismal Systems
chr_2224,K20866  yihX; glucose-1-phosphatase,00010 Glycolysis / Gluconeogenesis,Carbohydrate metabolism,Metabolism
chr_2230,K05782  benE; benzoate membrane transport protein,02000 Transporters,Protein families: signaling and cellular processes,Brite Hierarchies
chr_2235,"K00108  betA, CHDH; choline dehydrogenase","00260 Glycine, serine and threonine metabolism",Amino acid metabolism,Metabolism
chr_2237,"K00130  betB, gbsA; betaine-aldehyde dehydrogenase","00260 Glycine, serine and threonine metabolism",Amino acid metabolism,Metabolism
chr_2238,"K23778  rcdA; TetR/AcrR family transcriptional regulator, regulator of biofilm formation and stress response",03000 Transcription factors,Protein families: genetic information processing,Brite Hierarchies
chr_2245,"K04564  SOD2; superoxide dismutase, Fe-Mn family",04013 MAPK signaling pathway - fly,Signal transduction,Environmental Information Processing
chr_2245,"K04564  SOD2; superoxide dismutase, Fe-Mn family",04068 FoxO signaling pathway,Signal transduction,Environmental Information Processing
chr_2245,"K04564  SOD2; superoxide dismutase, Fe-Mn family",04146 Peroxisome,Transport and catabolism,Cellular Processes
chr_2245,"K04564  SOD2; superoxide dismutase, Fe-Mn family",04213 Longevity regulating pathway - multiple species,Aging,Organismal Systems
chr_2245,"K04564  SOD2; superoxide dismutase, Fe-Mn family",04212 Longevity regulating pathway - worm,Aging,Organismal Systems
chr_2245,"K04564  SOD2; superoxide dismutase, Fe-Mn family",04211 Longevity regulating pathway,Aging,Organismal Systems
chr_2245,"K04564  SOD2; superoxide dismutase, Fe-Mn family",05016 Huntington disease,Neurodegenerative disease,Human Diseases
chr_2246,"K11692  K11692, dctR; two-component system, CitB family, response regulator DctR",02020 Two-component system,Signal transduction,Environmental Information Processing
chr_2246,"K11692  K11692, dctR; two-component system, CitB family, response regulator DctR",02022 Two-component system,Protein families: signaling and cellular processes,Brite Hierarchies
chr_2248,"K11614  yufL, malK; two-component system, CitB family, sensor histidine kinase MalK",02020 Two-component system,Signal transduction,Environmental Information Processing
chr_2248,"K11614  yufL, malK; two-component system, CitB family, sensor histidine kinase MalK",02022 Two-component system,Protein families: signaling and cellular processes,Brite Hierarchies
chr_2248,"K11614  yufL, malK; two-component system, CitB family, sensor histidine kinase MalK",01001 Protein kinases,Protein families: metabolism,Brite Hierarchies
chr_2250,"K00276  AOC3, AOC2, tynA; primary-amine oxidase",00950 Isoquinoline alkaloid biosynthesis,Biosynthesis of other secondary metabolites,Metabolism
chr_2250,"K00276  AOC3, AOC2, tynA; primary-amine oxidase",00360 Phenylalanine metabolism,Amino acid metabolism,Metabolism
chr_2250,"K00276  AOC3, AOC2, tynA; primary-amine oxidase",00350 Tyrosine metabolism,Amino acid metabolism,Metabolism
chr_2250,"K00276  AOC3, AOC2, tynA; primary-amine oxidase","00960 Tropane, piperidine and pyridine alkaloid biosynthesis",Biosynthesis of other secondary metabolites,Metabolism
chr_2250,"K00276  AOC3, AOC2, tynA; primary-amine oxidase",00410 beta-Alanine metabolism,Metabolism of other amino acids,Metabolism
chr_2250,"K00276  AOC3, AOC2, tynA; primary-amine oxidase","00260 Glycine, serine and threonine metabolism",Amino acid metabolism,Metabolism
chr_2253,"K01580  E4.1.1.15, gadB, gadA, GAD; glutamate decarboxylase",00410 beta-Alanine metabolism,Metabolism of other amino acids,Metabolism
chr_2253,"K01580  E4.1.1.15, gadB, gadA, GAD; glutamate decarboxylase",00650 Butanoate metabolism,Carbohydrate metabolism,Metabolism
chr_2253,"K01580  E4.1.1.15, gadB, gadA, GAD; glutamate decarboxylase",00430 Taurine and hypotaurine metabolism,Metabolism of other amino acids,Metabolism
chr_2253,"K01580  E4.1.1.15, gadB, gadA, GAD; glutamate decarboxylase","00250 Alanine, aspartate and glutamate metabolism",Amino acid metabolism,Metabolism
chr_2253,"K01580  E4.1.1.15, gadB, gadA, GAD; glutamate decarboxylase",02024 Quorum sensing,Cellular community - prokaryotes,Cellular Processes
chr_2253,"K01580  E4.1.1.15, gadB, gadA, GAD; glutamate decarboxylase",04727 GABAergic synapse,Nervous system,Organismal Systems
chr_2253,"K01580  E4.1.1.15, gadB, gadA, GAD; glutamate decarboxylase",04940 Type I diabetes mellitus,Endocrine and metabolic disease,Human Diseases
chr_2257,"K13641  iclR; IclR family transcriptional regulator, acetate operon repressor",03000 Transcription factors,Protein families: genetic information processing,Brite Hierarchies
chr_2259,K19709  ydiF; acetate CoA-transferase,00627 Aminobenzoate degradation,Xenobiotics biodegradation and metabolism,Metabolism
chr_2259,K19709  ydiF; acetate CoA-transferase,00640 Propanoate metabolism,Carbohydrate metabolism,Metabolism
chr_2259,K19709  ydiF; acetate CoA-transferase,00650 Butanoate metabolism,Carbohydrate metabolism,Metabolism
chr_2262,K01715  crt; enoyl-CoA hydratase,00650 Butanoate metabolism,Carbohydrate metabolism,Metabolism
chr_2263,"K22540  HTD2; 3-hydroxyacyl-thioester dehydratase, animal type",00061 Fatty acid biosynthesis,Lipid metabolism,Metabolism
chr_2265,"K00001  E1.1.1.1, adh; alcohol dehydrogenase",00830 Retinol metabolism,Metabolism of cofactors and vitamins,Metabolism
chr_2265,"K00001  E1.1.1.1, adh; alcohol dehydrogenase",00350 Tyrosine metabolism,Amino acid metabolism,Metabolism
chr_2265,"K00001  E1.1.1.1, adh; alcohol dehydrogenase",00626 Naphthalene degradation,Xenobiotics biodegradation and metabolism,Metabolism
chr_2265,"K00001  E1.1.1.1, adh; alcohol dehydrogenase",00010 Glycolysis / Gluconeogenesis,Carbohydrate metabolism,Metabolism
chr_2265,"K00001  E1.1.1.1, adh; alcohol dehydrogenase",00980 Metabolism of xenobiotics by cytochrome P450,Xenobiotics biodegradation and metabolism,Metabolism
chr_2265,"K00001  E1.1.1.1, adh; alcohol dehydrogenase",00982 Drug metabolism - cytochrome P450,Xenobiotics biodegradation and metabolism,Metabolism
chr_2265,"K00001  E1.1.1.1, adh; alcohol dehydrogenase",00625 Chloroalkane and chloroalkene degradation,Xenobiotics biodegradation and metabolism,Metabolism
chr_2265,"K00001  E1.1.1.1, adh; alcohol dehydrogenase",00071 Fatty acid degradation,Lipid metabolism,Metabolism
chr_2266,K01561  dehH; haloacetate dehalogenase,00361 Chlorocyclohexane and chlorobenzene degradation,Xenobiotics biodegradation and metabolism,Metabolism
chr_2266,K01561  dehH; haloacetate dehalogenase,00625 Chloroalkane and chloroalkene degradation,Xenobiotics biodegradation and metabolism,Metabolism
chr_2298,K06959  tex; protein Tex,99973 Transcription,Unclassified: genetic information processing,Not Included in Pathway or Brite
chr_2305,K07273  acm; lysozyme,99992 Structural proteins,Unclassified: signaling and cellular processes,Not Included in Pathway or Brite
chr_2312,"K22107  kstR; TetR/AcrR family transcriptional regulator, cholesterol catabolism regulator",03000 Transcription factors,Protein families: genetic information processing,Brite Hierarchies
chr_2328,"K00626  E2.3.1.9, atoB; acetyl-CoA C-acetyltransferase",00650 Butanoate metabolism,Carbohydrate metabolism,Metabolism
chr_2328,"K00626  E2.3.1.9, atoB; acetyl-CoA C-acetyltransferase",00630 Glyoxylate and dicarboxylate metabolism,Carbohydrate metabolism,Metabolism
chr_2328,"K00626  E2.3.1.9, atoB; acetyl-CoA C-acetyltransferase",00071 Fatty acid degradation,Lipid metabolism,Metabolism
chr_2328,"K00626  E2.3.1.9, atoB; acetyl-CoA C-acetyltransferase",00900 Terpenoid backbone biosynthesis,Metabolism of terpenoids and polyketides,Metabolism
chr_2328,"K00626  E2.3.1.9, atoB; acetyl-CoA C-acetyltransferase",00072 Synthesis and degradation of ketone bodies,Lipid metabolism,Metabolism
chr_2328,"K00626  E2.3.1.9, atoB; acetyl-CoA C-acetyltransferase",00640 Propanoate metabolism,Carbohydrate metabolism,Metabolism
chr_2328,"K00626  E2.3.1.9, atoB; acetyl-CoA C-acetyltransferase",00620 Pyruvate metabolism,Carbohydrate metabolism,Metabolism
chr_2328,"K00626  E2.3.1.9, atoB; acetyl-CoA C-acetyltransferase",00310 Lysine degradation,Amino acid metabolism,Metabolism
chr_2328,"K00626  E2.3.1.9, atoB; acetyl-CoA C-acetyltransferase",00720 Carbon fixation pathways in prokaryotes,Energy metabolism,Metabolism
chr_2328,"K00626  E2.3.1.9, atoB; acetyl-CoA C-acetyltransferase",00380 Tryptophan metabolism,Amino acid metabolism,Metabolism
chr_2328,"K00626  E2.3.1.9, atoB; acetyl-CoA C-acetyltransferase","00280 Valine, leucine and isoleucine degradation",Amino acid metabolism,Metabolism
chr_2328,"K00626  E2.3.1.9, atoB; acetyl-CoA C-acetyltransferase",00362 Benzoate degradation,Xenobiotics biodegradation and metabolism,Metabolism
chr_2328,"K00626  E2.3.1.9, atoB; acetyl-CoA C-acetyltransferase",02020 Two-component system,Signal transduction,Environmental Information Processing
chr_2328,"K00626  E2.3.1.9, atoB; acetyl-CoA C-acetyltransferase",04147 Exosome,Protein families: signaling and cellular processes,Brite Hierarchies
chr_2330,K15981  CYP125A; cholest-4-en-3-one 26-monooxygenase,00984 Steroid degradation,Xenobiotics biodegradation and metabolism,Metabolism
chr_2330,K15981  CYP125A; cholest-4-en-3-one 26-monooxygenase,00199 Cytochrome P450,Protein families: metabolism,Brite Hierarchies
chr_2331,K01822  E5.3.3.1; steroid Delta-isomerase,00984 Steroid degradation,Xenobiotics biodegradation and metabolism,Metabolism
chr_2331,K01822  E5.3.3.1; steroid Delta-isomerase,00140 Steroid hormone biosynthesis,Lipid metabolism,Metabolism
chr_2333,"K00626  E2.3.1.9, atoB; acetyl-CoA C-acetyltransferase",00650 Butanoate metabolism,Carbohydrate metabolism,Metabolism
chr_2333,"K00626  E2.3.1.9, atoB; acetyl-CoA C-acetyltransferase",00630 Glyoxylate and dicarboxylate metabolism,Carbohydrate metabolism,Metabolism
chr_2333,"K00626  E2.3.1.9, atoB; acetyl-CoA C-acetyltransferase",00071 Fatty acid degradation,Lipid metabolism,Metabolism
chr_2333,"K00626  E2.3.1.9, atoB; acetyl-CoA C-acetyltransferase",00900 Terpenoid backbone biosynthesis,Metabolism of terpenoids and polyketides,Metabolism
chr_2333,"K00626  E2.3.1.9, atoB; acetyl-CoA C-acetyltransferase",00072 Synthesis and degradation of ketone bodies,Lipid metabolism,Metabolism
chr_2333,"K00626  E2.3.1.9, atoB; acetyl-CoA C-acetyltransferase",00640 Propanoate metabolism,Carbohydrate metabolism,Metabolism
chr_2333,"K00626  E2.3.1.9, atoB; acetyl-CoA C-acetyltransferase",00620 Pyruvate metabolism,Carbohydrate metabolism,Metabolism
